package name,reviewer name,review,rating
com.playsmusi.tubi2,Pranisha Dhakal,Excellent one,5
com.playsmusi.tubi2,Lerato Sthandwa,Good,5
com.playsmusi.tubi2,nour rahme,Ok,5
com.playsmusi.tubi2,nimme Ayesha Adil asdtgbrvstcxf fvxggasghar,The best thing,5
com.playsmusi.tubi2,Angel Garcia,I'm giving this 5 stars but this Takes a lot of time to show what you search for and lots of adds,5
com.playsmusi.tubi2,Arul mozhi Ammu,Nice. Good,5
com.playsmusi.tubi2,Vîjây Tūrkīyã,Ok,5
com.playsmusi.tubi2,Shobhna Singh,Download ka option hona chahie,4
com.playsmusi.tubi2,Maxine Lara Olpindo,Maxine lara lopindo,1
com.playsmusi.tubi2,Efren Jumantoc,Satified,5
com.playsmusi.tubi2,Ellisa Anderson,Is amazing OK,5
com.playsmusi.tubi2,Mahar Nomi,Right,1
com.playsmusi.tubi2,Angela Carr,It thought this was the play while back got wrong one but I get. The other one. Thank I love the games,3
com.playsmusi.tubi2,Satyajit Banerjee,Nicee,5
com.playsmusi.tubi2,Francois Muller,Okay,5
com.playsmusi.tubi2,Abloy sesiroc,dabest play tube,5
com.playsmusi.tubi2,Uthra Priya,Super,5
com.playsmusi.tubi2,Manju Upadhyaya,That app was very useless don't download this app it's only time waste to download this app,1
com.playsmusi.tubi2,kheilou bernandino,Don't worry it's cool and I need softie song I love the maker of this appp,5
com.playsmusi.tubi2,Ratanraj sharma,Best,1
com.playsmusi.tubi2,Ramanamma . A,Worst,1
com.playsmusi.tubi2,JUMANA JAZAL,Good,5
com.playsmusi.tubi2,Shivangi Singh,Good,5
com.playsmusi.tubi2,xXFallenSkyXx,"Never have I ever been so pissed off at an app. 1. I cannot find ANYTHING that I search word to word, I searched up my own channel so I could get my public playlists I had on there BUT NO it showed up NO CHANNELS AT ALL 2. Ads everywhere, everytime I searched something, ad! Everytime I clicked a video ad! Every 5 seconds a ad attacked me within the app so I eventually just unstalled it.",1
com.playsmusi.tubi2,Aruna Byre,You Tude,5
com.playsmusi.tubi2,KUSHAL GAMER K,Super,4
com.playsmusi.tubi2,Simul Shil,Goood,1
com.playsmusi.tubi2,Kamil Mustapha,Very good,5
com.playsmusi.tubi2,Lawrance Prashant,I really like to watch YouTube,5
com.playsmusi.tubi2,Ashok Kumar,Good.,2
com.playsmusi.tubi2,jomarie juanillo,Dównload,2
com.playsmusi.tubi2,Adrian Even,So hot,5
com.playsmusi.tubi2,Ashley Castleberry,Love it.,5
com.playsmusi.tubi2,im ck.,"This sucks i have my wifi on and it literally says no results this app is so bad,it doesnt even have sssniperwolf on it!! I hate this so much!",1
com.playsmusi.tubi2,Pema Yuden,So intersting,5
com.playsmusi.tubi2,Nakabugo Milly,It's working,1
com.playsmusi.tubi2,Simthandile Dube,This app sucks when i search a video it says no results fix this THIS ISNT THE PT I KNOW !,1
com.playsmusi.tubi2,Dr subash chandra Yadav,Good,5
com.playsmusi.tubi2,Irfat hasan,"Disgusting app, too many adds 😡😡",1
com.playsmusi.tubi2,Attitude Lover,Not bad,1
com.playsmusi.tubi2,Tekbahadur Limbu,Good,5
com.playsmusi.tubi2,Ananda maye Debnath,GOOD,1
com.playsmusi.tubi2,Obaida K,Btec YouTube,1
com.playsmusi.tubi2,Stella ayanaba,Great,5
com.playsmusi.tubi2,Usman Azeem,Best app,5
com.playsmusi.tubi2,md monjo,MD Manju bhaiya,5
com.playsmusi.tubi2,Pravin Nikalje,Update youtube app install,2
com.playsmusi.tubi2,CΛll_мe_hacker -,Good app,5
com.playsmusi.tubi2,Arshi Arohi,Nice app,5
com.playsmusi.tubi2,MATHRICS,Excellent app,5
com.playsmusi.tubi2,Manju Vishnu,Nice,4
com.playsmusi.tubi2,Ameen Ps,No result found,1
com.playsmusi.tubi2,md saiful uddin,Saiful,3
com.playsmusi.tubi2,Stacy Kraft,Good,5
com.playsmusi.tubi2,Naeem Ahmad,Nice app's,5
com.playsmusi.tubi2,spider man,Ok,5
com.playsmusi.tubi2,rajesh Kumar,Ritik kumar,5
com.playsmusi.tubi2,Anishka Rajpoot,Very nice Good night,4
com.playsmusi.tubi2,Frank Zen,"This app does what I need but the UI is not good. Too many clicks to do things. For instance, when I click add, it should add to a default playlist or the last playlist I selected without having to rechoose it every time. Building a playlist should be fast. Think OnTheGo playlists on the old ipod. It's always the less clicks the better. As long as it's intuitive, it's better to make the user do less than more! Also, no way to close video after it starts... That's bad.",3
com.playsmusi.tubi2,barigana baniboro,ከዳሮ,5
com.playsmusi.tubi2,Matseliso Chona,This is so good,5
com.playsmusi.tubi2,Swetha Thulasi,Very bad,1
com.playsmusi.tubi2,Saraswati Khadka,Wowww😉,5
com.playsmusi.tubi2,Amiya Dhara,Very worst performance,1
com.playsmusi.tubi2,Marcu Maftei,Stupid app giving ad after searching for a video and don't even let you watch a restricted video,1
com.playsmusi.tubi2,yeoungshil Jeon,Nice,4
com.playsmusi.tubi2,Silviu Eward Ado Baba,I don t want to instal programs with advertising . I will uninstal,5
com.playsmusi.tubi2,joy Ologunala,"It can't play videos at all, so stupid",1
com.playsmusi.tubi2,Ram Ji Tiwari,5 years,5
com.playsmusi.tubi2,webzen bot,"Mine is stuck to select screen overlay, tried to install several times but every time it takes me to the same screen selection overlay where I don't seem to find a way to the next screen",1
